,H/A,Max Targets,Max Yards,Max Snap Percentage,Avg Targets,Avg Yards,Avg Snap Percentage,Std Targets,Std Yards,Std Snap Percentage,Line,Over,Under,Week,Opposition TE Defense,Result
10,1.0,4.0,90.0,0.58,2.1666666666666665,28.0,0.4483333333333333,1.602081978759722,32.95451410656816,0.08471520918150803,17.5,-115.0,-115.0,7.0,52.75,28.0
11,0.0,7.0,61.0,0.83,3.8,28.0,0.678,2.7748873851023217,22.371857321197094,0.10084641788382963,32.5,-115.0,-115.0,7.0,47.0,18.0
12,0.0,4.0,37.0,0.69,2.1666666666666665,11.666666666666666,0.505,0.983192080250175,13.441230102437302,0.13156747318391426,17.5,-115.0,-115.0,7.0,68.125,56.0
13,1.0,8.0,72.0,0.85,5.333333333333333,37.833333333333336,0.73,1.7511900715418263,28.12412961616175,0.10139033484509259,35.5,-115.0,-115.0,7.0,32.57142857142857,68.0
14,1.0,8.0,83.0,0.94,7.0,53.6,0.866,1.7320508075688772,24.511221919765646,0.05079370039680114,46.5,-120.0,-110.0,7.0,63.285714285714285,23.0
15,0.0,5.0,16.0,0.69,1.8333333333333333,6.5,0.6366666666666666,1.7224014243685086,6.156297588648554,0.05853773711604048,14.5,-115.0,-115.0,7.0,56.142857142857146,11.0
16,0.0,4.0,40.0,0.75,2.5,19.166666666666668,0.49666666666666665,1.378404875209022,16.203908993408557,0.13048627003124377,22.5,-120.0,-110.0,7.0,53.42857142857143,32.0
17,1.0,7.0,80.0,0.65,4.5,41.5,0.545,1.9148542155126762,30.686587732536616,0.14617341299520464,44.5,-115.0,-115.0,7.0,38.375,32.0
18,0.0,10.0,60.0,0.8,6.0,33.833333333333336,0.6983333333333333,3.0983866769659336,14.246637030073684,0.06765106552499131,30.5,-140.0,110.0,7.0,50.375,31.0
19,1.0,8.0,84.0,0.88,5.8,46.8,0.746,2.3874672772626644,26.88308018066382,0.20815859338494772,40.5,-115.0,-115.0,7.0,38.0,9.0
20,0.0,3.0,17.0,0.48,2.0,10.166666666666666,0.40833333333333327,0.8944271909999159,6.5243135015621885,0.06911343333004565,9.5,-115.0,-115.0,7.0,59.5,0.0
21,1.0,9.0,42.0,0.93,6.0,24.666666666666668,0.8616666666666667,2.280350850198276,15.487629472151852,0.06615638039272304,28.5,-115.0,-115.0,7.0,45.25,60.0
22,1.0,10.0,81.0,0.84,6.75,54.75,0.715,2.217355782608345,19.670197423174653,0.15022205785658332,37.5,-115.0,-115.0,7.0,44.375,38.0
23,1.0,4.0,35.0,0.6,1.6666666666666667,16.5,0.27666666666666667,1.632993161855452,14.842506526863986,0.22633308787419187,30.5,-110.0,-120.0,7.0,43.42857142857143,85.0
24,0.0,8.0,78.0,0.93,4.666666666666667,36.333333333333336,0.815,2.7325202042558927,28.751811537130433,0.08215838362577493,34.5,-115.0,-115.0,7.0,46.857142857142854,62.0
25,1.0,3.0,38.0,0.98,2.2,16.4,0.806,0.8366600265340756,16.47118696390761,0.1817415747703315,14.5,-110.0,-120.0,7.0,37.5,8.0
26,0.0,7.0,62.0,0.82,5.0,39.4,0.7,1.224744871391589,24.480604567698077,0.0874642784226795,39.5,-115.0,-115.0,7.0,66.75,59.0
27,0.0,14.0,108.0,0.96,8.833333333333334,78.33333333333333,0.8666666666666666,3.3115957885386114,20.694604771936735,0.06713171133426188,65.5,-115.0,-115.0,7.0,49.142857142857146,31.0
28,1.0,5.0,56.0,0.89,3.5,37.0,0.8133333333333334,1.224744871391589,17.787636155487327,0.06562519841239847,28.5,-115.0,-115.0,7.0,52.75,0.0
29,0.0,5.0,24.0,0.71,1.6666666666666667,7.166666666666667,0.43999999999999995,2.065591117977289,9.600347215943112,0.2265391798343059,15.5,-115.0,-115.0,7.0,57.875,64.0
30,0.0,2.0,19.0,0.49,1.6,11.2,0.41600000000000004,0.5477225575051661,5.674504383644442,0.046690470119715,17.5,-115.0,-115.0,7.0,47.0,38.0
31,0.0,10.0,57.0,0.98,5.4,30.6,0.8480000000000001,3.1304951684997055,16.25730604989646,0.08228000972289683,39.5,-115.0,-115.0,6.0,38.0,52.0
32,0.0,7.0,37.0,0.8,4.4,19.6,0.6759999999999999,1.6733200530681511,12.361229712289955,0.14774978849392645,20.5,-115.0,-115.0,6.0,37.0,0.0
33,1.0,10.0,88.0,0.88,6.2,45.0,0.742,2.8635642126552705,36.27671429443411,0.08584870412533903,30.5,-105.0,-125.0,6.0,47.0,35.0
