Player,Prop Bets,Pos,Team,Opp,H/A,Line,Result,Over,oW/L,Under,uW/L,Week
Kyle Rudolph,Receiving Yards,TE,MIN,ATL,Home,30.5,0,-115,Loss,-115,Win,19NFL01
Mark Andrews,Receiving Yards,TE,BAL,MIA,Away,35.5,108,-115,Win,-115,Loss,19NFL01
Mike Gesicki,Receiving Yards,TE,MIA,BAL,Home,19.5,31,-115,Win,-115,Loss,19NFL01
Travis Kelce,Receiving Yards,TE,KC,JAC,Away,75.5,88,-115,Win,-115,Loss,19NFL01
Tyler Eifert,Receiving Yards,TE,CIN,SEA,Away,34.5,27,-115,Loss,-115,Win,19NFL01
Tyler Higbee,Receiving Yards,TE,LAR,CAR,Away,17.5,20,-105,Win,-125,Loss,19NFL01
Vance McDonald,Receiving Yards,TE,PIT,NE,Away,46.5,40,-125,Loss,-105,Win,19NFL01
Will Dissly,Receiving Yards,TE,SEA,CIN,Home,27.5,12,-115,Loss,-115,Win,19NFL01
Zach Ertz,Receiving Yards,TE,PHI,WAS,Home,59.5,54,-115,Loss,-115,Win,19NFL01
C.J. Uzomah,Receiving Yards,TE,CIN,PIT,Away,36.5,6,-115,Loss,-115,Win,18NFL17
David Njoku,Receiving Yards,TE,CLE,BAL,Away,34.5,62,-115,Win,-115,Loss,18NFL17
Jared Cook,Receiving Yards,TE,LVR,KC,Away,44.5,28,-115,Loss,-115,Win,18NFL17
Jordan Akins,Receiving Yards,TE,HOU,JAC,Home,13.5,0,-105,Loss,-125,Win,18NFL17
Kyle Rudolph,Receiving Yards,TE,MIN,CHI,Home,29.5,19,-125,Loss,-105,Win,18NFL17
Travis Kelce,Receiving Yards,TE,KC,LVR,Home,84.5,62,-120,Loss,-110,Win,18NFL17
Trey Burton,Receiving Yards,TE,CHI,MIN,Away,29.5,33,-115,Win,-115,Loss,18NFL17
Vance McDonald,Receiving Yards,TE,PIT,CIN,Home,32.5,39,-115,Win,-115,Loss,18NFL17
Zach Ertz,Receiving Yards,TE,PHI,WAS,Away,67.5,15,-110,Loss,-120,Win,18NFL17
Antonio Gates,Receiving Yards,TE,LAC,BAL,Home,20.5,21,-115,Win,-115,Loss,18NFL16
Benjamin Watson,Receiving Yards,TE,NO,PIT,Home,20.5,6,-115,Loss,-115,Win,18NFL16
Blake Jarwin,Receiving Yards,TE,DAL,TB,Home,25.5,8,-115,Loss,-115,Win,18NFL16
Cameron Brate,Receiving Yards,TE,TB,DAL,Away,24.5,8,-115,Loss,-115,Win,18NFL16
David Njoku,Receiving Yards,TE,CLE,CIN,Home,34.5,73,-115,Win,-115,Loss,18NFL16
Eric Ebron,Receiving Yards,TE,IND,NYG,Home,49.5,28,-115,Loss,-115,Win,18NFL16
Evan Engram,Receiving Yards,TE,NYG,IND,Away,49.5,87,-115,Win,-115,Loss,18NFL16
George Kittle,Receiving Yards,TE,SF,CHI,Home,70.5,74,-115,Win,-115,Loss,18NFL16
Gerald Everett,Receiving Yards,TE,LAR,ARI,Away,20.5,28,-115,Win,-115,Loss,18NFL16
Jared Cook,Receiving Yards,TE,LVR,DEN,Home,48.5,20,-155,Loss,125,Win,18NFL16
Jimmy Graham,Receiving Yards,TE,GB,NYJ,Away,27.5,34,-115,Win,-115,Loss,18NFL16
Jordan Leggett,Receiving Yards,TE,NYJ,GB,Home,10.5,9,-115,Loss,-115,Win,18NFL16
Kyle Rudolph,Receiving Yards,TE,MIN,DET,Away,28.5,122,-115,Win,-115,Loss,18NFL16
Levine Toilolo,Receiving Yards,TE,DET,MIN,Home,18.5,16,-115,Loss,-115,Win,18NFL16
Ricky Seals Jones,Receiving Yards,TE,ARI,LAR,Home,19.5,3,-115,Loss,-115,Win,18NFL16
Rob Gronkowski,Receiving Yards,TE,NE,BUF,Home,51.5,0,110,Loss,-140,Win,18NFL16
Travis Kelce,Receiving Yards,TE,KC,SEA,Away,84.5,54,-125,Loss,-105,Win,18NFL16
Trey Burton,Receiving Yards,TE,CHI,SF,Away,25.5,30,-115,Win,-115,Loss,18NFL16
Tyler Higbee,Receiving Yards,TE,LAR,ARI,Away,15.5,16,-115,Win,-115,Loss,18NFL16
Vance McDonald,Receiving Yards,TE,PIT,NO,Away,34.5,49,-115,Win,-115,Loss,18NFL16
Zach Ertz,Receiving Yards,TE,PHI,HOU,Home,62.5,110,100,Win,-130,Loss,18NFL16
Antonio Gates,Receiving Yards,TE,LAC,KC,Away,18.5,54,-120,Win,-110,Loss,18NFL15
Benjamin Watson,Receiving Yards,TE,NO,CAR,Home,17.5,28,-120,Win,-110,Loss,18NFL15
C.J. Uzomah,Receiving Yards,TE,CIN,LVR,Home,33.5,27,-115,Loss,-115,Win,18NFL15
Cameron Brate,Receiving Yards,TE,TB,BAL,Away,30.5,9,-115,Loss,-115,Win,18NFL15
Chris Herndon,Receiving Yards,TE,NYJ,HOU,Home,32.5,53,-120,Win,-110,Loss,18NFL15
David Njoku,Receiving Yards,TE,CLE,DEN,Away,40.5,30,-115,Loss,-115,Win,18NFL15
Eric Ebron,Receiving Yards,TE,IND,DAL,Home,57.5,8,-110,Loss,-120,Win,18NFL15
Evan Engram,Receiving Yards,TE,NYG,TEN,Home,42.5,75,-115,Win,-115,Loss,18NFL15
George Kittle,Receiving Yards,TE,SF,SEA,Home,75.5,51,-115,Loss,-115,Win,18NFL15
Gerald Everett,Receiving Yards,TE,LAR,PHI,Home,20.5,46,-115,Win,-115,Loss,18NFL15
Jared Cook,Receiving Yards,TE,LVR,CIN,Away,53.5,23,-135,Loss,105,Win,18NFL15
Jimmy Graham,Receiving Yards,TE,GB,CHI,Away,33.5,32,-115,Loss,-115,Win,18NFL15
Kyle Rudolph,Receiving Yards,TE,MIN,MIA,Home,34.5,23,-125,Loss,-105,Win,18NFL15
Matt LaCosse,Receiving Yards,TE,DEN,CLE,Home,18.5,43,-115,Win,-115,Loss,18NFL15
Nick Vannett,Receiving Yards,TE,SEA,SF,Away,15.5,0,-115,Loss,-115,Win,18NFL15
Rob Gronkowski,Receiving Yards,TE,NE,PIT,Away,63.5,21,-120,Loss,-110,Win,18NFL15
Travis Kelce,Receiving Yards,TE,KC,LAC,Home,85.5,61,-110,Loss,-120,Win,18NFL15
Vance McDonald,Receiving Yards,TE,PIT,NE,Home,37.5,13,-115,Loss,-115,Win,18NFL15
Vernon Davis,Receiving Yards,TE,WAS,JAC,Away,30.5,16,-115,Loss,-115,Win,18NFL15
Zach Ertz,Receiving Yards,TE,PHI,LAR,Away,72.5,22,-115,Loss,-115,Win,18NFL15
C.J. Uzomah,Receiving Yards,TE,CIN,LAC,Away,33.5,37,-115,Win,-115,Loss,18NFL14
Cameron Brate,Receiving Yards,TE,TB,NO,Home,36.5,12,-115,Loss,-115,Win,18NFL14
Charles Clay,Receiving Yards,TE,BUF,NYJ,Home,19.5,6,-115,Loss,-115,Win,18NFL14
Chris Herndon,Receiving Yards,TE,NYJ,BUF,Away,34.5,14,-115,Loss,-115,Win,18NFL14
David Njoku,Receiving Yards,TE,CLE,CAR,Home,42.5,35,-115,Loss,-115,Win,18NFL14
Eric Ebron,Receiving Yards,TE,IND,HOU,Away,58.5,65,-115,Win,-115,Loss,18NFL14
George Kittle,Receiving Yards,TE,SF,DEN,Home,68.5,210,-115,Win,-115,Loss,18NFL14
James O'Shaughnessy,Receiving Yards,TE,JAC,TEN,Home,18.5,12,-120,Loss,-110,Win,18NFL14
Jared Cook,Receiving Yards,TE,LVR,PIT,Home,51.5,116,-115,Win,-115,Loss,18NFL14
Jimmy Graham,Receiving Yards,TE,GB,ATL,Home,40.5,13,-125,Loss,-105,Win,18NFL14
Jonnu Smith,Receiving Yards,TE,TEN,JAC,Away,30.5,0,-115,Loss,-115,Win,18NFL14
Jordan Reed,Receiving Yards,TE,WAS,NYG,Home,49.5,0,-115,Loss,-115,Win,18NFL14
Kyle Rudolph,Receiving Yards,TE,MIN,SEA,Away,37.5,7,100,Loss,-130,Win,18NFL14
Nick Vannett,Receiving Yards,TE,SEA,MIN,Home,19.5,12,115,Loss,-145,Win,18NFL14
Rob Gronkowski,Receiving Yards,TE,NE,PHI,Away,57.5,107,-105,Win,-125,Loss,18NFL14
Travis Kelce,Receiving Yards,TE,KC,BAL,Home,82.5,77,-130,Loss,100,Win,18NFL14
Trey Burton,Receiving Yards,TE,CHI,LAR,Home,35.5,22,-151,Loss,-110,Win,18NFL14
Vance McDonald,Receiving Yards,TE,PIT,LVR,Away,37.5,37,-115,Loss,-115,Win,18NFL14
Zach Ertz,Receiving Yards,TE,PHI,DAL,Away,74.5,38,-105,Loss,-125,Win,18NFL14
Benjamin Watson,Receiving Yards,TE,NO,DAL,Away,17.5,0,-125,Loss,-105,Win,18NFL13
C.J. Uzomah,Receiving Yards,TE,CIN,DEN,Home,32.5,33,-115,Win,-115,Loss,18NFL13
Cameron Brate,Receiving Yards,TE,TB,CAR,Home,40.5,36,-115,Loss,-115,Win,18NFL13
David Njoku,Receiving Yards,TE,CLE,HOU,Away,51.5,8,-115,Loss,-115,Win,18NFL13
Eric Ebron,Receiving Yards,TE,IND,JAC,Away,45.5,81,-115,Win,-115,Loss,18NFL13
George Kittle,Receiving Yards,TE,SF,SEA,Away,69.5,70,-115,Win,-115,Loss,18NFL13
Gerald Everett,Receiving Yards,TE,LAR,DET,Away,24.5,7,-115,Loss,-115,Win,18NFL13
Greg Olsen,Receiving Yards,TE,CAR,TB,Away,46.5,13,105,Loss,-135,Win,18NFL13
Jared Cook,Receiving Yards,TE,LVR,KC,Home,45.5,100,-115,Win,-115,Loss,18NFL13
Jonnu Smith,Receiving Yards,TE,TEN,NYJ,Home,32.5,29,-115,Loss,-115,Win,18NFL13
Jordan Reed,Receiving Yards,TE,WAS,PHI,Away,50.5,21,-115,Loss,-115,Win,18NFL13
Kyle Rudolph,Receiving Yards,TE,MIN,NE,Away,38.5,38,-115,Loss,-115,Win,18NFL13
Ricky Seals Jones,Receiving Yards,TE,ARI,GB,Away,16.5,10,-110,Loss,-120,Win,18NFL13
Rob Gronkowski,Receiving Yards,TE,NE,MIN,Home,61.5,26,-115,Loss,-115,Win,18NFL13
Travis Kelce,Receiving Yards,TE,KC,LVR,Away,80.5,168,-115,Win,-115,Loss,18NFL13
Trey Burton,Receiving Yards,TE,CHI,NYG,Away,35.5,0,-115,Loss,-115,Win,18NFL13
Tyler Higbee,Receiving Yards,TE,LAR,DET,Away,29.5,19,-115,Loss,-115,Win,18NFL13
Vance McDonald,Receiving Yards,TE,PIT,LAC,Home,39.5,28,-115,Loss,-115,Win,18NFL13
Zach Ertz,Receiving Yards,TE,PHI,WAS,Home,70.5,83,-110,Win,-120,Loss,18NFL13
Austin Hooper,Receiving Yards,TE,ATL,NO,Away,43.5,31,105,Loss,-135,Win,18NFL12
Benjamin Watson,Receiving Yards,TE,NO,ATL,Home,27.5,20,105,Loss,-135,Win,18NFL12
C.J. Uzomah,Receiving Yards,TE,CIN,CLE,Home,32.5,39,-105,Win,-125,Loss,18NFL12
Cameron Brate,Receiving Yards,TE,TB,SF,Home,33.5,26,-145,Loss,115,Win,18NFL12
Chris Herndon,Receiving Yards,TE,NYJ,NE,Home,32.5,57,-115,Win,-115,Loss,18NFL12
David Njoku,Receiving Yards,TE,CLE,CIN,Away,41.5,63,-115,Win,-115,Loss,18NFL12
Eric Ebron,Receiving Yards,TE,IND,MIA,Home,33.5,45,-125,Win,-105,Loss,18NFL12
Evan Engram,Receiving Yards,TE,NYG,PHI,Away,35.5,0,-115,Loss,-115,Win,18NFL12
George Kittle,Receiving Yards,TE,SF,TB,Away,76.5,48,-155,Loss,125,Win,18NFL12
Jared Cook,Receiving Yards,TE,LVR,BAL,Away,43.5,32,-105,Loss,-125,Win,18NFL12
Jeff Heauerman,Receiving Yards,TE,DEN,PIT,Home,28.5,44,-115,Win,-115,Loss,18NFL12
Jonnu Smith,Receiving Yards,TE,TEN,HOU,Away,33.5,63,-115,Win,-115,Loss,18NFL12
Jordan Reed,Receiving Yards,TE,WAS,DAL,Away,47.5,75,-145,Win,115,Loss,18NFL12
Kyle Rudolph,Receiving Yards,TE,MIN,GB,Home,33.5,63,-115,Win,-115,Loss,18NFL12
Ricky Seals Jones,Receiving Yards,TE,ARI,LAC,Away,26.5,5,100,Loss,-130,Win,18NFL12
Rob Gronkowski,Receiving Yards,TE,NE,NYJ,Away,60.5,56,-115,Loss,-115,Win,18NFL12
Trey Burton,Receiving Yards,TE,CHI,DET,Away,38.5,28,-125,Loss,-105,Win,18NFL12
Vance McDonald,Receiving Yards,TE,PIT,DEN,Away,44.5,27,-115,Loss,-115,Win,18NFL12
Zach Ertz,Receiving Yards,TE,PHI,NYG,Home,75.5,91,-115,Win,-115,Loss,18NFL12
Austin Hooper,Receiving Yards,TE,ATL,DAL,Home,44.5,27,-115,Loss,-115,Win,18NFL11
Benjamin Watson,Receiving Yards,TE,NO,PHI,Home,25.5,0,-115,Loss,-115,Win,18NFL11
C.J. Uzomah,Receiving Yards,TE,CIN,BAL,Away,32.5,41,-115,Win,-115,Loss,18NFL11
Eric Ebron,Receiving Yards,TE,IND,TEN,Home,40.5,0,-115,Loss,-115,Win,18NFL11
Evan Engram,Receiving Yards,TE,NYG,TB,Home,38.5,66,-125,Win,-105,Loss,18NFL11
Gerald Everett,Receiving Yards,TE,LAR,KC,Home,19.5,49,-115,Win,-115,Loss,18NFL11
Greg Olsen,Receiving Yards,TE,CAR,DET,Away,50.5,9,105,Loss,-135,Win,18NFL11
Jared Cook,Receiving Yards,TE,LVR,ARI,Away,47.5,31,-125,Loss,-105,Win,18NFL11
Jeff Heauerman,Receiving Yards,TE,DEN,LAC,Away,29.5,20,-120,Loss,-110,Win,18NFL11
Jimmy Graham,Receiving Yards,TE,GB,SEA,Away,46.5,13,120,Loss,-150,Win,18NFL11
Jordan Reed,Receiving Yards,TE,WAS,HOU,Home,48.5,71,-115,Win,-115,Loss,18NFL11
Kyle Rudolph,Receiving Yards,TE,MIN,CHI,Away,37.5,13,-115,Loss,-115,Win,18NFL11
Mark Andrews,Receiving Yards,TE,BAL,CIN,Home,21.5,19,-105,Loss,-125,Win,18NFL11
Nick Vannett,Receiving Yards,TE,SEA,GB,Home,22.5,17,-125,Loss,-105,Win,18NFL11
O.J. Howard,Receiving Yards,TE,TB,NYG,Away,47.5,78,-135,Win,105,Loss,18NFL11
Travis Kelce,Receiving Yards,TE,KC,LAR,Away,79.5,127,-120,Win,-110,Loss,18NFL11
Trey Burton,Receiving Yards,TE,CHI,MIN,Home,41.5,9,-115,Loss,-115,Win,18NFL11
Tyler Higbee,Receiving Yards,TE,LAR,KC,Home,17.5,63,-115,Win,-115,Loss,18NFL11
Vance McDonald,Receiving Yards,TE,PIT,JAC,Away,44.5,27,-115,Loss,-115,Win,18NFL11
Zach Ertz,Receiving Yards,TE,PHI,NO,Away,77.5,15,-120,Loss,-110,Win,18NFL11
Austin Hooper,Receiving Yards,TE,ATL,CLE,Away,38.5,56,-115,Win,-115,Loss,18NFL10
Benjamin Watson,Receiving Yards,TE,NO,CIN,Away,34.5,1,-110,Loss,-120,Win,18NFL10
C.J. Uzomah,Receiving Yards,TE,CIN,NO,Home,35.5,23,-115,Loss,-115,Win,18NFL10
David Njoku,Receiving Yards,TE,CLE,ATL,Home,49.5,18,-115,Loss,-115,Win,18NFL10
Eric Ebron,Receiving Yards,TE,IND,JAC,Home,33.5,69,-115,Win,-115,Loss,18NFL10
Evan Engram,Receiving Yards,TE,NYG,SF,Away,42.5,46,-115,Win,-115,Loss,18NFL10
George Kittle,Receiving Yards,TE,SF,NYG,Home,65.5,83,-115,Win,-115,Loss,18NFL10
Greg Olsen,Receiving Yards,TE,CAR,PIT,Away,51.5,40,-125,Loss,-105,Win,18NFL10
Jack Doyle,Receiving Yards,TE,IND,JAC,Home,43.5,36,-115,Loss,-115,Win,18NFL10
Jared Cook,Receiving Yards,TE,LVR,LAC,Home,43.5,52,-115,Win,-115,Loss,18NFL10
Jimmy Graham,Receiving Yards,TE,GB,MIA,Home,50.5,14,-110,Loss,-120,Win,18NFL10
Jordan Reed,Receiving Yards,TE,WAS,TB,Away,47.5,51,-115,Win,-115,Loss,18NFL10
Logan Thomas,Receiving Yards,TE,BUF,NYJ,Away,23.5,1,100,Loss,-130,Win,18NFL10
Nick Vannett,Receiving Yards,TE,SEA,LAR,Away,24.5,8,-115,Loss,-115,Win,18NFL10
O.J. Howard,Receiving Yards,TE,TB,WAS,Home,50.5,15,-115,Loss,-115,Win,18NFL10
Ricky Seals Jones,Receiving Yards,TE,ARI,KC,Away,26.5,51,-115,Win,-115,Loss,18NFL10
Travis Kelce,Receiving Yards,TE,KC,ARI,Home,79.5,46,-115,Loss,-115,Win,18NFL10
Trey Burton,Receiving Yards,TE,CHI,DET,Home,40.5,40,-115,Loss,-115,Win,18NFL10
Vance McDonald,Receiving Yards,TE,PIT,CAR,Home,41.5,44,-125,Win,-105,Loss,18NFL10
Zach Ertz,Receiving Yards,TE,PHI,DAL,Home,70.5,145,-115,Win,-115,Loss,18NFL10
Austin Hooper,Receiving Yards,TE,ATL,WAS,Away,46.5,41,-105,Loss,-125,Win,18NFL09
Benjamin Watson,Receiving Yards,TE,NO,LAR,Home,29.5,62,-110,Win,-120,Loss,18NFL09
Charles Clay,Receiving Yards,TE,BUF,CHI,Home,29.5,0,-115,Loss,-115,Win,18NFL09
Chris Herndon,Receiving Yards,TE,NYJ,MIA,Away,27.5,62,-115,Win,-115,Loss,18NFL09
David Njoku,Receiving Yards,TE,CLE,KC,Home,50.5,53,-115,Win,-115,Loss,18NFL09
George Kittle,Receiving Yards,TE,SF,LVR,Home,59.5,108,-125,Win,-105,Loss,18NFL09
Jared Cook,Receiving Yards,TE,LVR,SF,Away,57.5,20,-125,Loss,-105,Win,18NFL09
Jimmy Graham,Receiving Yards,TE,GB,NE,Away,48.5,55,-125,Win,-105,Loss,18NFL09
Jonnu Smith,Receiving Yards,TE,TEN,DAL,Home,11.5,33,-115,Win,-115,Loss,18NFL09
Jordan Reed,Receiving Yards,TE,WAS,ATL,Home,49.5,34,-115,Loss,-115,Win,18NFL09
Kyle Rudolph,Receiving Yards,TE,MIN,DET,Home,39.5,28,-115,Loss,-115,Win,18NFL09
O.J. Howard,Receiving Yards,TE,TB,CAR,Away,52.5,53,-130,Win,100,Loss,18NFL09
Travis Kelce,Receiving Yards,TE,KC,CLE,Away,80.5,99,-115,Win,-115,Loss,18NFL09
Trey Burton,Receiving Yards,TE,CHI,BUF,Away,45.5,28,-125,Loss,-105,Win,18NFL09
Vance McDonald,Receiving Yards,TE,PIT,BAL,Away,40.5,25,-105,Loss,-125,Win,18NFL09
Benjamin Watson,Receiving Yards,TE,NO,MIN,Away,34.5,0,-115,Loss,-115,Win,18NFL08
Charles Clay,Receiving Yards,TE,BUF,NE,Home,25.5,36,-115,Win,-115,Loss,18NFL08
David Njoku,Receiving Yards,TE,CLE,PIT,Away,52.5,0,-120,Loss,-110,Win,18NFL08
Eric Ebron,Receiving Yards,TE,IND,LVR,Away,44.5,37,-120,Loss,-110,Win,18NFL08
George Kittle,Receiving Yards,TE,SF,ARI,Away,59.5,57,-120,Loss,-110,Win,18NFL08
Greg Olsen,Receiving Yards,TE,CAR,BAL,Home,40.5,56,-115,Win,-115,Loss,18NFL08
Jared Cook,Receiving Yards,TE,LVR,IND,Home,54.5,74,-120,Win,-110,Loss,18NFL08
Jesse James,Receiving Yards,TE,PIT,CLE,Home,19.5,9,100,Loss,-130,Win,18NFL08
Jimmy Graham,Receiving Yards,TE,GB,LAR,Away,50.5,21,-115,Loss,-115,Win,18NFL08
Jordan Reed,Receiving Yards,TE,WAS,NYG,Away,45.5,38,-120,Loss,-110,Win,18NFL08
Kyle Rudolph,Receiving Yards,TE,MIN,NO,Home,38.5,39,-125,Win,-105,Loss,18NFL08
Mike Gesicki,Receiving Yards,TE,MIA,HOU,Away,22.5,14,-135,Loss,105,Win,18NFL08
Ricky Seals Jones,Receiving Yards,TE,ARI,SF,Home,33.5,12,-120,Loss,-110,Win,18NFL08
Rob Gronkowski,Receiving Yards,TE,NE,BUF,Away,55.5,43,-150,Loss,120,Win,18NFL08
Travis Kelce,Receiving Yards,TE,KC,DEN,Home,84.5,79,-115,Loss,-115,Win,18NFL08
Trey Burton,Receiving Yards,TE,CHI,NYJ,Home,45.5,18,-115,Loss,-115,Win,18NFL08
Vance McDonald,Receiving Yards,TE,PIT,CLE,Home,39.5,47,-115,Win,-115,Loss,18NFL08
Zach Ertz,Receiving Yards,TE,PHI,JAC,Away,73.5,26,-115,Loss,-115,Win,18NFL08
Antonio Gates,Receiving Yards,TE,LAC,TEN,Home,19.5,11,-125,Loss,-105,Win,18NFL07
Austin Hooper,Receiving Yards,TE,ATL,NYG,Home,49.5,48,-105,Loss,-125,Win,18NFL07
Benjamin Watson,Receiving Yards,TE,NO,BAL,Away,30.5,43,-120,Win,-110,Loss,18NFL07
C.J. Uzomah,Receiving Yards,TE,CIN,KC,Away,36.5,13,-135,Loss,105,Win,18NFL07
Charles Clay,Receiving Yards,TE,BUF,IND,Away,28.5,14,-115,Loss,-115,Win,18NFL07
David Njoku,Receiving Yards,TE,CLE,TB,Away,50.5,52,-140,Win,110,Loss,18NFL07
Eric Ebron,Receiving Yards,TE,IND,BUF,Home,53.5,31,-125,Loss,-105,Win,18NFL07
Evan Engram,Receiving Yards,TE,NYG,ATL,Away,45.5,16,-120,Loss,-110,Win,18NFL07
Geoff Swaim,Receiving Yards,TE,DAL,WAS,Away,27.5,25,-120,Loss,-110,Win,18NFL07
George Kittle,Receiving Yards,TE,SF,LAR,Home,60.5,98,-125,Win,-105,Loss,18NFL07
Gerald Everett,Receiving Yards,TE,LAR,SF,Away,20.5,-5,-115,Loss,-115,Win,18NFL07
Greg Olsen,Receiving Yards,TE,CAR,PHI,Away,48.5,5,105,Loss,-135,Win,18NFL07
Jeff Heauerman,Receiving Yards,TE,DEN,ARI,Away,25.5,0,-130,Loss,100,Win,18NFL07
Jordan Reed,Receiving Yards,TE,WAS,DAL,Home,51.5,43,-120,Loss,-110,Win,18NFL07
Kyle Rudolph,Receiving Yards,TE,MIN,NYJ,Away,43.5,16,-120,Loss,-110,Win,18NFL07
O.J. Howard,Receiving Yards,TE,TB,CLE,Home,43.5,67,-115,Win,-115,Loss,18NFL07
Ricky Seals Jones,Receiving Yards,TE,ARI,DEN,Home,35.5,12,-190,Loss,155,Win,18NFL07
Travis Kelce,Receiving Yards,TE,KC,CIN,Home,83.5,95,-135,Win,105,Loss,18NFL07
Zach Ertz,Receiving Yards,TE,PHI,CAR,Home,75.5,138,-125,Win,-105,Loss,18NFL07
Antonio Gates,Receiving Yards,TE,LAC,CLE,Away,25.5,5,-115,Loss,-115,Win,18NFL06
Austin Hooper,Receiving Yards,TE,ATL,TB,Home,39.5,71,-115,Win,-115,Loss,18NFL06
C.J. Uzomah,Receiving Yards,TE,CIN,PIT,Home,33.5,54,-130,Win,100,Loss,18NFL06
Cameron Brate,Receiving Yards,TE,TB,ATL,Away,30.5,15,-115,Loss,-115,Win,18NFL06
David Njoku,Receiving Yards,TE,CLE,LAC,Home,45.5,55,-115,Win,-115,Loss,18NFL06
Geoff Swaim,Receiving Yards,TE,DAL,JAC,Home,30.5,21,-135,Loss,105,Win,18NFL06
George Kittle,Receiving Yards,TE,SF,GB,Away,60.5,30,-130,Loss,100,Win,18NFL06
Jared Cook,Receiving Yards,TE,LVR,SEA,Home,56.5,10,-125,Loss,-105,Win,18NFL06
Jimmy Graham,Receiving Yards,TE,GB,SF,Home,50.5,104,-125,Win,-105,Loss,18NFL06
Jordan Reed,Receiving Yards,TE,WAS,CAR,Home,54.5,36,-145,Loss,115,Win,18NFL06
Kyle Rudolph,Receiving Yards,TE,MIN,ARI,Home,41.5,37,-125,Loss,-105,Win,18NFL06
Nick Vannett,Receiving Yards,TE,SEA,LVR,Away,30.5,0,-125,Loss,-105,Win,18NFL06
Ricky Seals Jones,Receiving Yards,TE,ARI,MIN,Away,27.5,69,-135,Win,105,Loss,18NFL06
Rob Gronkowski,Receiving Yards,TE,NE,KC,Home,73.5,97,-135,Win,105,Loss,18NFL06
Travis Kelce,Receiving Yards,TE,KC,NE,Away,83.5,61,-135,Loss,105,Win,18NFL06
Trey Burton,Receiving Yards,TE,CHI,MIA,Away,45.5,23,-115,Loss,-115,Win,18NFL06
Vance McDonald,Receiving Yards,TE,PIT,CIN,Away,35.5,68,-115,Win,-115,Loss,18NFL06
Zach Ertz,Receiving Yards,TE,PHI,NYG,Away,73.5,43,-135,Loss,105,Win,18NFL06
Austin Hooper,Receiving Yards,TE,ATL,PIT,Away,30.5,77,-130,Win,100,Loss,18NFL05
Austin Seferian Jenkins,Receiving Yards,TE,JAC,KC,Away,30.5,0,-115,Loss,-115,Win,18NFL05
Benjamin Watson,Receiving Yards,TE,NO,WAS,Home,34.5,30,-110,Loss,-120,Win,18NFL05
David Njoku,Receiving Yards,TE,CLE,BAL,Home,33.5,69,-125,Win,-105,Loss,18NFL05
Eric Ebron,Receiving Yards,TE,IND,NE,Away,47.5,105,-125,Win,-105,Loss,18NFL05
Geoff Swaim,Receiving Yards,TE,DAL,HOU,Away,28.5,55,-135,Win,105,Loss,18NFL05
George Kittle,Receiving Yards,TE,SF,ARI,Home,56.5,83,-120,Win,-110,Loss,18NFL05
Jeff Heauerman,Receiving Yards,TE,DEN,NYJ,Away,28.5,18,-125,Loss,-105,Win,18NFL05
Jimmy Graham,Receiving Yards,TE,GB,DET,Away,50.5,76,-115,Win,-115,Loss,18NFL05
Jordan Reed,Receiving Yards,TE,WAS,NO,Away,55.5,21,-130,Loss,100,Win,18NFL05
Kyle Rudolph,Receiving Yards,TE,MIN,PHI,Away,42.5,41,-125,Loss,-105,Win,18NFL05
Ricky Seals Jones,Receiving Yards,TE,ARI,SF,Away,33.5,0,-120,Loss,-110,Win,18NFL05
Rob Gronkowski,Receiving Yards,TE,NE,IND,Home,64.5,75,-115,Win,-115,Loss,18NFL05
Travis Kelce,Receiving Yards,TE,KC,JAC,Home,70.5,100,-115,Win,-115,Loss,18NFL05
Vance McDonald,Receiving Yards,TE,PIT,ATL,Home,44.5,6,-135,Loss,105,Win,18NFL05
Zach Ertz,Receiving Yards,TE,PHI,MIN,Home,65.5,110,-125,Win,-105,Loss,18NFL05
Antonio Gates,Receiving Yards,TE,LAC,SF,Home,19.5,27,-125,Win,-105,Loss,18NFL04
Austin Hooper,Receiving Yards,TE,ATL,CIN,Home,30.5,19,-125,Loss,-105,Win,18NFL04
Austin Seferian Jenkins,Receiving Yards,TE,JAC,NYJ,Home,30.5,24,-125,Loss,-105,Win,18NFL04
Benjamin Watson,Receiving Yards,TE,NO,NYG,Away,34.5,23,-125,Loss,-105,Win,18NFL04
David Njoku,Receiving Yards,TE,CLE,LVR,Away,37.5,52,-125,Win,-105,Loss,18NFL04
Eric Ebron,Receiving Yards,TE,IND,HOU,Home,44.5,40,-125,Loss,-105,Win,18NFL04
Geoff Swaim,Receiving Yards,TE,DAL,DET,Home,24.5,39,-115,Win,-115,Loss,18NFL04
George Kittle,Receiving Yards,TE,SF,LAC,Away,44.5,125,-125,Win,-105,Loss,18NFL04
Jared Cook,Receiving Yards,TE,LVR,CLE,Home,49.5,110,-125,Win,-105,Loss,18NFL04
Jesse James,Receiving Yards,TE,PIT,BAL,Home,23.5,23,-125,Loss,-105,Win,18NFL04
Jimmy Graham,Receiving Yards,TE,GB,BUF,Home,44.5,21,-125,Loss,-105,Win,18NFL04
Kyle Rudolph,Receiving Yards,TE,MIN,LAR,Away,44.5,57,-115,Win,-115,Loss,18NFL04
Mark Andrews,Receiving Yards,TE,BAL,PIT,Away,23.5,12,-125,Loss,-105,Win,18NFL04
